Plant,Region,RouteNum,Site,VMI,SiteVolume,RouteVolume,Utilization,TripRound,TripTime,TruckDemand
CPA2,江苏苏州,1,11169,N,129.314016,135.91162666666668,0.6275470350669818,2,4.6,1
CPA2,江苏苏州,1,11099,N,6.597610666666667,135.91162666666668,0.6275470350669818,2,4.6,1
CPA2,江苏苏州,2,10196,N,45.200959999999995,45.200959999999995,0.20870715130023637,2,3.85,1
CPA2,江苏太仓,3,11189,N,28.374934374999995,28.374934374999995,0.13101606075927152,2,3.65,1
CPA2,上海安亭核心区,4,10178,N,2757.426198967608,2757.426198967608,0.652918475463249,39,1.49,6
CPA2,上海安亭核心区,5,11019,N,1959.5773751585714,1959.5773751585714,0.6462849646836515,28,1.49,5
CPA2,上海安亭核心区,6,10369,N,310.792748609375,310.792748609375,0.717514287384971,4,1.49,1
CPA2,上海安亭核心区,7,YF.RDC,Y,200.00079011749423,200.00079011749423,0.6156446701311755,3,1.49,1
CPA2,上海安亭核心区,8,10264,N,163.70316545659608,163.70316545659608,0.7558693735990879,2,1.49,1
CPA2,上海安亭核心区,9,10486,N,87.34449271666668,146.1365879989744,0.6747589206512927,2,2.24,1
CPA2,上海安亭核心区,9,10274,N,58.7920952823077,146.1365879989744,0.6747589206512927,2,2.24,1
CPA2,上海安亭核心区,10,10490,N,33.538560000000004,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海安亭核心区,10,10262,N,27.69641855968421,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海安亭核心区,10,10151,N,18.87052288851728,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海安亭核心区,10,10232,N,14.943022331249997,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海安亭核心区,10,10874,N,9.821960945,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海安亭核心区,10,10172,N,9.095036095625,113.96552082007649,0.26310745608949393,2,2.99,2
CPA2,上海青浦,11,11301,N,844.9198751277193,844.9198751277193,0.6502104535495771,12,2.85,4
CPA2,上海青浦,12,10203,N,170.93722691911765,170.93722691911765,0.7892713270127698,2,2.85,1
CPA2,上海青浦,13,10019,N,110.34067162222225,141.1095851638889,0.6515476560832636,2,3.6,1
